Dump,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,AverageTime
wifi/mult_wifi_no_tls_10%_5ms,6.964665227,4.475264631,2.249549656,3.331984294,1.449303989,2.728640714,6.142076980,2.250166119,1.867931865,2.302003683,3.376158716
wifi/mult_wifi_no_tls_1%_10ms,1.097634155,1.156325840,1.360218602,1.119505008,1.125858821,1.123437483,1.130569081,1.319540009,1.134029697,1.135288016,1.170240671
wifi/mult_wifi_no_tls_1%_1ms,0.509664053,0.898719721,0.493497044,0.526362025,0.490383457,1.035311144,0.719173546,0.505263770,1.129976372,0.676677006,0.698502814
wifi/mult_wifi_no_tls_1%_5ms,0.736426869,0.813173645,0.753778632,0.733745200,0.732340804,1.018497014,1.206788373,0.772736974,1.180472400,0.785227536,0.873318745
wifi/mult_wifi_no_tls_5%_10ms,1.552334427,2.179055093,2.061252475,3.061111343,1.565990478,1.593926790,2.200033141,1.400660151,2.054497080,1.849614915,1.951847589
wifi/mult_wifi_no_tls_5%_1ms,0.911658524,1.354869150,0.752968444,0.926083738,1.137368509,2.393867812,1.540428593,0.881198914,0.728342641,0.903061480,1.152984780
wifi/mult_wifi_no_tls_5%_5ms,0.978114729,1.653604622,1.171256180,2.360717283,0.969437890,4.033545714,3.028183352,1.918405840,1.202814553,1.403412967,1.871949313
wifi/mult_wifi_quic_10%_10ms,0.224058165,0.251948026,0.247002081,0.245077006,1.607425953,0.297072330,1.185678219,1.360026237,1.449270909,0.246820335,0.711437926
wifi/mult_wifi_quic_10%_1ms,1.196825788,0.201287919,0.155861889,0.195764982,0.244360652,0.235913927,0.264495410,0.199360215,1.196256522,0.149173449,0.403930075
wifi/mult_wifi_quic_10%_5ms,3.117207628,2.254556681,0.191632530,0.193761274,1.237960421,0.372979787,1.209911067,0.206236383,0.337435962,1.176959090,1.029864082
wifi/mult_wifi_quic_1%_10ms,0.232994997,0.255854808,0.233155967,0.257269415,1.148202483,0.235965888,0.209781022,1.237326985,0.203102371,0.210073813,0.422372775
wifi/mult_wifi_quic_1%_1ms,0.146821620,0.169637703,0.149987226,0.148950270,0.143483582,0.152008085,1.158514381,0.152031659,0.145316108,0.162403166,0.252915380
wifi/mult_wifi_quic_1%_5ms,0.175178917,0.184444116,0.172011633,0.170992959,0.186130727,0.167394088,0.176496964,0.183068362,0.170595574,0.181643139,0.176795648
wifi/mult_wifi_quic_5%_10ms,0.277689921,0.246586122,0.464368006,0.273582671,0.267532752,0.250408548,1.249159337,0.263555055,0.405797715,1.307064273,0.500574440
wifi/mult_wifi_quic_5%_1ms,0.141237020,0.153341447,0.176411408,0.156298080,0.193937052,0.168026412,0.146070676,1.304345362,1.073060341,0.166091572,0.367881937
wifi/mult_wifi_quic_5%_5ms,0.188649043,0.176782931,1.250932148,0.180130296,0.296025935,0.329220263,0.168775835,0.181683040,0.185680678,0.175580218,0.313346039
wifi/mult_wifi_tls_10%_10ms,3.271757760,4.299809348,1.954643341,3.107547985,4.324656539,3.458607792,3.488648445,2.081318057,2.589373887,9.715443652,3.829180681
wifi/mult_wifi_tls_10%_1ms,5.074590529,2.433799700,3.686309699,5.579525002,4.190890319,13.318796463,5.990845444,4.211732997,4.097896757,1.673550732,5.025793764
wifi/mult_wifi_tls_10%_5ms,3.010016519,7.979953042,5.194815369,2.397549712,6.225999924,7.329262834,4.058418599,3.369924458,1.562334314,3.532057324,4.466033209
wifi/mult_wifi_tls_1%_10ms,1.243981577,1.270055184,1.476602700,1.519893978,1.257206904,1.723581214,1.323595256,1.835017136,1.359181930,1.892400125,1.490151600
wifi/mult_wifi_tls_1%_1ms,0.928931869,1.122782102,0.618900604,0.661448646,1.099152494,0.922940248,0.659430642,0.845175472,0.663963359,0.714083804,0.823680924
wifi/mult_wifi_tls_1%_5ms,1.592712006,0.913715083,1.100064170,0.988121378,1.200447657,0.922538938,0.948163263,1.355564875,1.218454255,1.145244867,1.138502649
wifi/mult_wifi_tls_5%_10ms,1.923010007,1.859389427,2.291521823,3.328212564,1.531317277,2.142292363,2.329919941,2.030094723,2.133936828,2.252103305,2.182179826
wifi/mult_wifi_tls_5%_1ms,1.316557189,1.966650337,1.342610613,1.535213112,2.142103556,2.226888280,1.331635504,1.336213732,1.970152801,1.408928395,1.657695352
wifi/mult_wifi_tls_5%_5ms,1.638503839,1.127565640,1.265437892,1.884652083,1.416471623,3.843893299,0.933689695,2.105078173,5.550268127,1.545882915,2.131144329
mobile/main_mobile_no_tls_1%_10ms,0.208741096,0.195182637,0.204055665,0.500471667,0.211864090,0.201645474,0.213517097,0.213092013,0.210935621,0.196872140,0.235637750
mobile/main_mobile_no_tls_1%_25ms,0.401869951,0.420053486,0.357511704,0.414537650,0.385697156,0.377045340,0.378222935,0.376821578,0.380530198,0.432838599,0.392512860
mobile/main_mobile_no_tls_1%_50ms,0.656382609,0.664978196,0.649602425,0.661787874,0.666733927,3.741463171,0.666575872,0.664246051,0.692102625,0.669352035,0.973322478
mobile/main_mobile_no_tls_3%_10ms,0.443583817,0.706773171,0.230273593,0.459584845,0.256635866,0.202157505,0.193736761,0.235092318,0.255830637,0.479536704,0.346320522
mobile/main_mobile_no_tls_3%_25ms,0.664321186,0.385628719,2.368536529,0.424327942,0.411976933,0.439809307,0.634979766,0.425200404,0.421903146,0.708057396,0.688474133
mobile/main_mobile_no_tls_3%_50ms,1.225355936,0.647069565,0.663310176,0.993732160,0.675964208,1.541297877,0.997922082,0.667099582,0.670677083,1.255859385,0.933828805
mobile/main_mobile_no_tls_5%_10ms,0.218512952,0.457614935,0.227228725,0.275397619,0.203947554,0.469797989,0.219615978,0.233838739,0.197856511,0.442807352,0.294661835
mobile/main_mobile_no_tls_5%_25ms,0.713483069,0.375196061,0.390575021,0.412527562,0.677590069,0.407111741,0.422089654,1.366589377,0.694451419,0.394087335,0.585370131
mobile/main_mobile_no_tls_5%_50ms,0.654463405,0.978961106,3.008124317,0.665013327,0.681894933,1.709297986,0.673297779,0.638642814,0.655764812,0.988605974,1.065406645
mobile/main_mobile_quic_1%_10ms,0.178804617,0.172384602,0.169480634,0.165014100,0.167704703,0.173140222,0.146744553,0.178773543,1.183864713,0.169754466,0.270566615
mobile/main_mobile_quic_1%_25ms,0.594701194,0.273830272,0.275768828,0.266925437,0.274592062,0.263530366,0.278212125,0.263543281,0.268424899,0.262650893,0.302217936
mobile/main_mobile_quic_1%_50ms,0.418807887,0.406440603,0.397029307,0.423414312,0.398050058,0.448918644,0.405706262,3.531187174,0.469867405,0.471481639,0.737090329
mobile/main_mobile_quic_3%_10ms,0.271760475,0.167565251,0.162463187,0.149990072,0.143669710,0.163817543,0.191455363,0.165872005,1.159572971,0.168967919,0.274513450
mobile/main_mobile_quic_3%_25ms,1.417348534,0.261437354,0.306744734,0.263979549,5.019904012,0.269957444,0.273466164,1.282708039,0.249903151,0.271094230,0.961654321
mobile/main_mobile_quic_3%_50ms,0.400657982,0.540853185,0.452851553,0.473572411,0.462533852,0.478552721,0.466911101,0.388458831,0.466632821,0.546500533,0.467752499
mobile/main_mobile_quic_5%_10ms,1.893584928,1.069395502,0.179831012,0.218709180,0.161470342,0.170219188,0.191415319,0.165000820,0.160336323,0.172370404,0.438233302
mobile/main_mobile_quic_5%_25ms,0.283969415,1.147517844,2.360514343,0.336926975,0.270181276,0.255904064,4.983354941,0.269052184,0.370201558,2.121269631,1.239889223
mobile/main_mobile_quic_5%_50ms,0.464105276,0.470222772,0.452813049,0.472459851,0.469533026,0.469072029,0.468534128,0.474923194,1.403916865,0.400117885,0.554569807
mobile/main_mobile_tls_1%_10ms,0.332659133,0.353162245,0.305837929,0.314706589,1.540593906,0.348838512,0.352101917,0.321800294,0.349723680,0.337007982,0.455643219
mobile/main_mobile_tls_1%_25ms,0.616169342,0.799521914,0.646347938,0.640090121,0.511026268,0.472364066,0.547687797,0.537114744,0.972534302,0.632401031,0.637525752
mobile/main_mobile_tls_1%_50ms,0.957962672,0.967170169,0.907165515,0.845786927,0.977131732,0.998478106,0.941897397,1.012990433,1.680856940,0.986793231,1.027623312
mobile/main_mobile_tls_3%_10ms,0.900749692,0.406078819,0.866138723,0.551327345,0.364508674,0.346752692,0.603082743,0.666403851,0.380061797,0.350319696,0.543542403
mobile/main_mobile_tls_3%_25ms,0.521291957,0.553352118,0.622075333,0.495953140,0.617641457,0.583970143,0.931539696,0.576201748,0.747285109,0.774830585,0.642414129
mobile/main_mobile_tls_3%_50ms,1.584334509,1.602117705,1.128950768,0.946350349,0.949968316,0.919558670,1.856207308,0.993225735,0.972803707,0.961274362,1.191479143
mobile/main_mobile_tls_5%_10ms,0.368231993,0.516621508,0.358958764,0.352629153,0.398457818,0.374521960,0.367400398,0.369568616,0.561024657,3.169295431,0.683671030
mobile/main_mobile_tls_5%_25ms,1.511636907,0.575259940,0.949417888,0.588935717,0.872766668,0.670231736,0.868838268,0.550082016,0.573446437,1.173252150,0.833386773
mobile/main_mobile_tls_5%_50ms,1.178349452,1.255285899,2.121980263,1.182309370,0.993571386,2.102486756,0.936909517,0.941531705,1.942815700,0.956548648,1.361178870
mobile/mult_mobile_no_tls_1%_10ms,1.180790544,1.139509528,1.320878273,1.180167069,1.402738547,1.623592482,1.625125219,1.425094332,1.173577542,1.656652046,1.372812558
mobile/mult_mobile_no_tls_1%_25ms,2.238966768,2.479103764,3.444166431,2.200867979,2.227358433,2.491735098,2.244519009,2.187089117,2.234863010,2.176651304,2.392532091
mobile/mult_mobile_no_tls_1%_50ms,4.363275843,4.623612784,3.841851122,4.184440912,4.070959900,3.846886984,4.126342926,4.685814738,4.878373470,4.249883887,4.287144257
mobile/mult_mobile_no_tls_3%_10ms,1.169810228,1.399865921,1.657121541,1.393729130,1.846531112,1.894520616,2.452212794,1.407762851,1.633292734,2.224327657,1.707917458
mobile/mult_mobile_no_tls_3%_25ms,3.086170072,2.513396132,2.220611393,3.069560647,2.594128235,2.972565297,3.337341323,2.516796591,2.206837647,3.087007623,2.760441496
mobile/mult_mobile_no_tls_3%_50ms,4.345413946,4.683183017,5.726458588,4.566498014,4.510294941,5.272572322,4.055442904,4.493807207,5.171397205,4.325991461,4.715105961
mobile/mult_mobile_no_tls_5%_10ms,1.592995602,1.647272408,2.270564564,1.621388567,1.862650684,1.852416578,2.331020158,1.615957585,2.398151025,1.395899607,1.858831678
mobile/mult_mobile_no_tls_5%_25ms,3.351175973,3.051600062,4.870145623,2.731159351,2.544365777,3.080024013,2.481788265,3.236424361,3.579916116,3.064737398,3.199133694
mobile/mult_mobile_no_tls_5%_50ms,5.680977029,5.178770856,5.008140832,4.171782665,4.350216452,4.948623642,6.075568189,6.665508942,4.843557468,5.544939446,5.246808552
mobile/mult_mobile_quic_1%_10ms,0.239546452,0.238678233,0.248011706,0.266686999,0.256217727,0.216371534,0.214582227,0.235154032,0.257168161,0.243988395,0.241640547
mobile/mult_mobile_quic_1%_25ms,1.357931235,0.341593490,0.358794146,0.346360560,0.338622257,0.372479895,0.372590418,0.314564196,0.336202802,0.351005726,0.449014473
mobile/mult_mobile_quic_1%_50ms,0.626571263,0.474596180,1.674243838,0.611834530,0.487215319,0.495505307,0.507008782,1.090673972,0.480354454,0.590366275,0.703836992
mobile/mult_mobile_quic_3%_10ms,0.284059095,0.262821376,1.155024148,1.303341429,0.212369489,0.322030842,0.231979184,0.555884602,0.207207022,0.256457502,0.479117469
mobile/mult_mobile_quic_3%_25ms,0.416108653,0.345339961,0.358594201,1.338789307,0.363520465,0.328229589,0.359496739,0.331764224,0.340346414,0.374907552,0.455709711
mobile/mult_mobile_quic_3%_50ms,0.566847154,0.590480620,0.579820212,0.727357957,0.576926019,0.509469972,0.599283025,0.472940299,0.483445965,0.528793943,0.563536517
mobile/mult_mobile_quic_5%_10ms,0.270331465,0.252153946,0.251869735,0.311191051,0.234827033,0.218638682,0.264441547,0.252416965,0.227928012,0.260183827,0.254398226
mobile/mult_mobile_quic_5%_25ms,0.433700516,0.425357644,0.348913004,0.313234529,0.379472922,0.750732863,0.377758445,1.789135968,0.407120916,0.427176194,0.565260300
mobile/mult_mobile_quic_5%_50ms,0.499248019,0.581117142,0.599095054,0.577699697,0.525951712,0.600640489,0.640783057,0.585798025,1.498561052,0.526280693,0.663517494
mobile/mult_mobile_tls_1%_10ms,1.291458315,1.569611146,1.281154828,1.266185261,1.622307725,1.447890296,2.207829075,1.360742145,1.521419708,1.707630571,1.527622907
mobile/mult_mobile_tls_1%_25ms,2.872817725,4.622400410,2.638770839,2.980462484,2.376561406,2.434434644,2.766191146,2.660859133,2.378393625,2.474295487,2.820518690
mobile/mult_mobile_tls_1%_50ms,4.923442847,4.794445878,4.160461467,4.167003763,4.408795720,4.169590378,4.733054459,4.850859568,4.490723700,4.409630632,4.510800841
mobile/mult_mobile_tls_3%_10ms,2.118949056,2.419624070,1.613067895,1.525884946,1.550847067,1.492189158,1.842567600,1.645065036,1.729086742,2.232686908,1.816996848
mobile/mult_mobile_tls_3%_25ms,2.783127714,3.378187331,2.730116975,2.856577923,3.279921328,2.930182883,3.111398154,4.274699550,3.373330251,2.911377565,3.162891967
mobile/mult_mobile_tls_3%_50ms,4.405948407,5.290696888,4.438934755,4.182200470,4.772886571,5.218224106,5.609699243,8.477102186,5.717940056,4.870098694,5.298373138
mobile/mult_mobile_tls_5%_10ms,1.795699622,5.777054266,1.532742945,1.838534939,1.751000518,2.561337962,2.570343346,2.516215594,1.936242441,2.741724312,2.502089595
mobile/mult_mobile_tls_5%_25ms,3.397174252,3.049062118,7.346483150,3.044684514,3.106949127,4.463590155,3.076480466,6.451336440,2.664810059,3.141860402,3.974243068
mobile/mult_mobile_tls_5%_50ms,4.532902141,4.569509138,4.123010563,5.614565693,6.682887546,5.944909289,5.717508075,5.386419201,4.223849874,6.725784465,5.352134598
